Date,close,Close,Open,High,Low,Volume,OpenInt
5/13/2013,31.583,315.83,31.938,31.974,31.476,1672020,0
5/14/2013,31.689,316.89,31.618,31.832,31.44,1376101,0
5/15/2013,31.974,319.74,31.726,32.01,31.654,2169777,0
5/16/2013,31.12,311.2,31.938,32.01,30.979,2660773,0
5/17/2013,31.333,313.33,31.12,31.44,30.659,4160006,0
5/20/2013,31.832,318.32,31.333,31.974,31.299,2760229,0
5/21/2013,32.044,320.44,31.832,32.186,31.726,2214213,0
5/22/2013,31.299,312.99,32.044,32.364,31.263,2526766,0
5/23/2013,31.689,316.89,31.014,31.902,31.014,1626949,0
5/24/2013,31.689,316.89,31.511,31.832,31.263,1050436,0
5/28/2013,32.01,320.1,32.151,32.4,31.938,1799564,0
5/29/2013,31.902,319.02,31.726,32.08,31.618,2164104,0
5/30/2013,31.938,319.38,31.902,32.115,31.689,1807634,0
5/31/2013,31.243,312.43,31.746,32.143,31.243,2831373,0
6/3/2013,31.618,316.18,31.263,31.654,30.979,1530885,0
6/4/2013,31.938,319.38,31.726,32.223,31.654,2428501,0
6/5/2013,31.085,310.85,31.832,31.902,30.943,2600739,0
6/6/2013,31.263,312.63,31.085,31.405,30.766,2084680,0
6/7/2013,32.576,325.76,31.405,32.613,31.192,2773338,0
6/10/2013,32.719,327.19,32.471,32.825,32.329,2160756,0
6/11/2013,32.329,323.29,32.257,32.719,32.186,1747402,0
6/12/2013,31.44,314.4,32.649,32.649,31.333,2904084,0
6/13/2013,32.329,323.29,31.37,32.435,31.157,1832799,0
6/14/2013,32.329,323.29,32.293,32.506,31.974,1321193,0
6/17/2013,32.543,325.43,32.684,32.825,32.329,1432033,0
6/18/2013,33.714,337.14,32.684,34.141,32.649,4182894,0
6/19/2013,33.573,335.73,33.785,34.175,33.501,2695039,0
6/20/2013,32.791,327.91,33.181,33.467,32.649,3141728,0
6/21/2013,32.968,329.68,32.968,33.393,32.506,3060269,0
6/24/2013,31.796,317.96,32.576,32.791,31.583,3217760,0
6/25/2013,31.868,318.68,32.151,32.293,31.796,3162744,0
6/26/2013,32.001,320.01,32.251,32.287,31.644,2574112,0
6/27/2013,32.823,328.23,32.251,33.002,32.216,1736517,0
6/28/2013,32.429,324.29,32.609,32.895,32.251,2279803,0
7/1/2013,33.037,330.37,32.538,33.11,32.429,1599379,0
7/2/2013,33.002,330.02,33.002,33.361,32.572,1738450,0
7/3/2013,33.181,331.81,32.752,33.645,32.716,1340221,0
7/5/2013,33.753,337.53,32.716,33.967,32.681,1788276,0
7/8/2013,33.61,336.1,33.897,34.074,33.468,1754016,0
7/9/2013,33.61,336.1,33.717,33.967,33.361,1570096,0
7/10/2013,34.324,343.24,33.717,34.324,33.682,1773702,0
7/11/2013,34.718,347.18,34.681,35.003,34.469,2423688,0
7/12/2013,35.115,351.15,34.755,35.222,34.539,1818425,0
7/15/2013,35.186,351.86,35.186,35.322,35.003,1531221,0
7/16/2013,34.792,347.92,35.322,35.397,34.681,2596758,0
7/17/2013,34.645,346.45,34.931,34.968,34.36,2749214,0
7/18/2013,35.115,351.15,34.755,35.186,34.681,3068365,0
7/19/2013,34.681,346.81,35.186,35.222,34.574,2059984,0
7/22/2013,35.078,350.78,34.792,35.115,34.645,1607861,0
7/23/2013,35.003,350.03,35.115,35.222,34.755,2653795,0
7/24/2013,35.148,351.48,35.222,35.285,34.755,3254412,0
7/25/2013,35.042,350.42,35.544,35.756,34.901,7291825,0
7/26/2013,34.645,346.45,34.864,35.078,34.397,3174373,0
7/29/2013,34.506,345.06,34.645,34.864,34.433,2181022,0
7/30/2013,34.469,344.69,34.681,34.828,34.469,3857926,0
7/31/2013,34.681,346.81,34.539,35.115,34.433,4347127,0
8/1/2013,35.432,354.32,34.968,35.469,34.828,3403995,0
8/2/2013,35.756,357.56,35.432,35.756,35.222,3036124,0
8/5/2013,36.007,360.07,35.683,36.187,35.612,3223964,0
8/6/2013,35.649,356.49,36.007,36.112,35.397,2827813,0
8/7/2013,35.285,352.85,35.544,35.649,35.115,1647071,0
8/8/2013,35.683,356.83,35.508,35.826,35.251,2563151,0
8/9/2013,35.861,358.61,35.649,35.898,35.469,2493847,0
8/12/2013,36.29,362.9,35.649,36.325,35.649,3069425,0
8/13/2013,37.513,375.13,37.186,37.615,36.934,6927461,0
8/14/2013,37.584,375.84,37.399,37.721,37.33,3164469,0
8/15/2013,36.76,367.6,37.073,37.365,36.503,2849509,0
8/16/2013,36.829,368.29,36.503,37.073,36.503,2789298,0
8/19/2013,36.255,362.55,36.541,36.829,36.041,2915439,0
8/20/2013,36.007,360.07,36.224,36.325,35.718,4551008,0
8/21/2013,35.683,356.83,36.007,36.112,35.649,2280213,0
8/22/2013,35.861,358.61,36.041,36.187,35.683,1793477,0
8/23/2013,35.898,358.98,36.041,36.041,35.756,2133983,0
8/26/2013,35.756,357.56,35.861,36.112,35.756,1532150,0
8/27/2013,34.574,345.74,35.544,35.544,34.433,3845172,0
8/28/2013,35.469,354.69,34.539,35.544,34.506,4996163,0
8/29/2013,35.898,358.98,35.397,36.187,35.251,3862427,0
8/30/2013,35.683,356.83,35.935,36.079,35.578,2539223,0
9/3/2013,36.172,361.72,36.172,36.564,36.063,3540799,0
9/4/2013,35.771,357.71,36.244,36.346,35.663,4728789,0
9/5/2013,35.954,359.54,35.771,36.026,35.737,3161096,0
9/6/2013,35.842,358.42,36.102,36.172,35.593,4250955,0
9/9/2013,36.041,360.41,36.427,36.427,35.789,3592846,0
9/10/2013,36.526,365.26,36.275,36.641,36.136,7187075,0
9/11/2013,36.794,367.94,36.541,36.903,36.396,4010960,0
9/12/2013,36.255,362.55,36.903,36.934,36.112,2448335,0
9/13/2013,37.358,373.58,36.416,37.358,36.209,3613918,0
9/16/2013,37.186,371.86,37.686,37.793,37.007,3438840,0
9/17/2013,37.174,371.74,37.283,37.753,37.135,3698456,0
9/18/2013,37.026,370.26,37.318,37.358,36.487,4125601,0
9/19/2013,36.602,366.02,37.205,37.358,36.385,3218366,0
9/20/2013,36.244,362.44,36.818,36.818,35.991,5723551,0
9/23/2013,36.026,360.26,36.45,36.45,35.808,3220458,0
9/24/2013,36.853,368.53,36.275,37.205,36.172,3940020,0
9/25/2013,37.245,372.45,37,37.466,36.783,3509726,0
9/26/2013,37.318,373.18,37.283,37.576,37.026,2575516,0
9/27/2013,37.283,372.83,37.283,37.576,37.065,2108665,0
9/30/2013,37,370,37.1,37.283,36.853,2158830,0
10/1/2013,37.717,377.17,36.961,37.753,36.961,2992440,0
10/2/2013,37.789,377.89,37.576,37.823,37.358,2389224,0
10/3/2013,37.393,373.93,37.643,37.887,37,1870754,0
10/4/2013,37.851,378.51,37.393,38.037,37.283,1648662,0
10/7/2013,37.393,373.93,37.466,37.753,37.1,1747140,0
10/8/2013,36.45,364.5,36.752,37.174,36.313,5201261,0
10/9/2013,36.714,367.14,36.641,36.891,35.954,3251279,0
10/10/2013,38.288,382.88,37.205,38.288,37.205,3189662,0
10/11/2013,38.261,382.61,38.037,38.646,38.037,2530994,0
10/14/2013,38.324,383.24,38.001,38.394,37.789,1931791,0
10/15/2013,37.965,379.65,38.261,38.474,37.887,2240451,0
