,Actual,Predicted,delta,trend_actual,trend_predicted
377,76.33,75.66038,0.66962,,
378,77.05,76.091805,0.958195,,
379,74.78,76.814766,-2.034766,,
380,75.6,75.21475,0.38525,,
381,76,75.494,0.506,,
382,74.92,75.77435,-0.85435,,
383,74.4,74.97342,-0.57342,,
384,73.5,74.38898,-0.88898,,
385,74.5,73.52826,0.97174,,
386,73.9,74.10864,-0.20864,,
387,73.8,73.72644,0.07356,,
388,75.1,73.594696,1.505304,,
389,74.45,74.59611,-0.14611,,
390,74.07,74.28545,-0.21545,,
391,73,73.963646,-0.963646,,
392,73.9,73.0619,0.8381,,
393,75.2,73.55559,1.64441,,
394,76.91,74.66194,2.24806,,
395,76.67,76.29206,0.37794,,
396,74.98,76.45182,-1.47182,,
397,74.03,75.24021,-1.21021,,
398,73.51,74.21725,-0.70725,,
399,73.94,73.52629,0.41371,,
400,75.02,73.66687,1.35313,,
401,75.2,74.52715,0.67285,,
402,73.95,74.85733,-0.90733,,
403,73.51,73.99655,-0.48655,,
404,72.2,73.4705,-1.2705,,
405,71.91,72.32486,-0.41486,,
406,71.74,71.81199,-0.07199,,
407,70.86,71.524826,-0.664826,,
408,70.85,70.77533,0.07467,,
409,70.34,70.595116,-0.255116,,
410,69.34,70.15321,-0.81321,,
411,69.01,69.30132,-0.29132,,
412,69.87,68.84274,1.02726,,
413,69.58,69.363,0.217,,
414,69.03,69.27549,-0.24549,,
415,68.45,68.87521,-0.42521,,
416,70.24,68.35145,1.88855,,
417,71.6,69.56729,2.03271,,
418,70.28,70.90835,-0.62835,,
419,70.86,70.27548,0.58452,,
420,72.4,70.60835,1.79165,,
421,72.64,71.8522,0.7878,,
422,72.7,72.3251,0.3749,,
423,70.25,72.514,-2.264,,
424,71.26,70.75922,0.50078,,
425,71.95,71.050385,0.899615,,
426,71.31,71.559456,-0.249456,,
427,71.3,71.183174,0.116826,,
428,69.91,71.10745,-1.19745,,
429,71.58,70.03288,1.54712,,
430,70.05,71.04091,-0.99091,,
431,68.52,70.09336,-1.57336,,
432,69.45,68.76163,0.68837,,
433,68.65,69.07326,-0.42326,,
434,69.35,68.507965,0.842035,,
435,69.21,68.91053,0.29947,,
436,71.9,68.90229,2.99771,,
437,73.1,70.9967,2.1033,,
438,72.13,72.44284,-0.31284,,
439,70.65,72.086716,-1.436716,,
440,69.84,70.93589,-1.09589,,
441,70.05,70.00872,0.04128,,
442,70.2,69.88295,0.31705,,
443,72.17,69.92422,2.24578,,
444,74.63,71.452065,3.177935,,
445,73.8,73.76248,0.03752,,
446,71.7,73.65396,-1.95396,,
447,70.99,72.133385,-1.143385,,
448,71.93,71.18767,0.74233,,
449,72.85,71.61033,1.23967,,
450,73.28,72.37667,0.90333,,
451,75.35,72.89945,2.45055,,
452,73.5,74.695175,-1.195175,,
453,72.03,73.667725,-1.637725,,
454,71.29,72.349556,-1.059556,,
455,70.27,71.412155,-1.142155,,
456,69.55,70.354095,-0.804095,,
457,68.52,69.52086,-1.00086,,
458,68.95,68.52057,0.42943,,
459,68.67,68.568634,0.101366,,
460,67.4,68.35731,-0.95731,,
461,67.85,67.400375,0.449625,,
462,67.11,67.48383,-0.37383,,
463,66.2,66.95448,-0.75448,,
464,66.65,66.17627,0.47373,,
465,66.25,66.27646,-0.02646,,
466,67.05,66.01013,1.03987,,
467,66.51,66.53556,-0.02556,,
468,66.1,66.29963,-0.19963,,
469,64.22,65.96734,-1.74734,,
470,64.4,64.55913,-0.15913,,
471,63.87,64.24616,-0.37616,,
472,61.9,63.741558,-1.841558,,
473,62.28,62.24655,0.03345,,
474,60.41,62.0199,-1.6099,,
475,62.75,60.659054,2.090946,,
476,63.45,61.815422,1.634578,,
477,62.05,62.672966,-0.622966,,
478,62.94,62.04757,0.89243,,
479,61.75,62.49715,-0.74715,,
480,60.05,61.809494,-1.759494,,
481,60.56,60.45638,0.10362,,
482,60.01,60.321655,-0.311655,,
483,61.55,59.87832,1.67168,,
484,62.32,60.78172,1.53828,,
485,63.75,61.623425,2.126575,,
486,63.53,62.939083,0.590917,,
487,61.96,63.23175,-1.27175,,
488,61.58,62.2705,-0.6905,,
489,60.9,61.692215,-0.792215,,
490,62.8,60.9973,1.8027,,
491,60.5,62.046078,-1.546078,,
492,60.91,60.828133,0.081867,,
493,62.5,60.71743,1.78257,,
494,61.25,61.732544,-0.482544,,
495,58.8,61.21971,-2.41971,,
496,57.7,59.471004,-1.771004,,
497,59.49,58.11478,1.37522,,
498,61.18,58.759758,2.420242,,
499,62.1,60.12095,1.97905,,
500,62.64,61.272877,1.367123,,
501,62.57,62.0858,0.4842,,
502,63.19,62.33131,0.85869,,
503,65.1,62.848003,2.251997,,
504,65.6,64.35178,1.24822,,
505,64.7,65.15851,-0.45851,,
506,66.2,64.78273,1.41727,,
507,67.8,65.746765,2.053235,,
508,68.4,67.16109,1.23891,,
509,67.85,68.000336,-0.150336,,
510,66.49,67.8362,-1.3462,,
511,65.85,66.80655,-0.95655,,
512,67.1,66.02761,1.07239,,
513,68.1,66.656715,1.443285,,
514,68.45,67.53311,0.91689,,
515,66.85,68.04851,-1.19851,,
516,65.85,67.05622,-1.20622,,
517,66.35,66.065216,0.284784,,
518,64.82,66.094345,-1.274345,,
519,63.92,64.98396,-1.06396,,
520,63.98,64.03279,-0.05279,,
521,63.35,63.758324,-0.408324,,
522,63.38,63.22228,0.15772,,
523,64.15,63.087517,1.062483,,
524,62.6,63.58775,-0.98775,,
525,63.4,62.687103,0.712897,,
526,63,62.98507,0.01493,,
527,61.04,62.785942,-1.745942,,
528,60.39,61.412262,-1.022262,,
