Date,Open,High,Low,Price,Vol.,Change %
5-Jul-17,"9,619.75","9,643.65","9,607.35","9,637.60",134.85M,0.25%
4-Jul-17,"9,645.90","9,650.65","9,595.50","9,613.30",149.31M,-0.02%
3-Jul-17,"9,587.95","9,624.00","9,543.55","9,615.00",188.69M,0.99%
30-Jun-17,"9,478.50","9,535.80","9,448.75","9,520.90",185.20M,0.18%
29-Jun-17,"9,522.95","9,575.80","9,493.80","9,504.10",267.28M,0.14%
28-Jun-17,"9,520.20","9,522.50","9,474.35","9,491.25",177.65M,-0.21%
27-Jun-17,"9,594.05","9,615.40","9,473.45","9,511.40",209.59M,-0.66%
23-Jun-17,"9,643.25","9,647.65","9,565.30","9,574.95",180.58M,-0.57%
22-Jun-17,"9,642.65","9,698.85","9,617.75","9,630.00",204.89M,-0.04%
21-Jun-17,"9,648.10","9,650.45","9,608.60","9,633.60",148.49M,-0.21%
20-Jun-17,"9,670.50","9,676.50","9,643.75","9,653.50",164.44M,-0.04%
19-Jun-17,"9,626.40","9,673.30","9,614.90","9,657.55",146.15M,0.72%
16-Jun-17,"9,595.45","9,615.85","9,565.50","9,588.05",219.81M,0.10%
15-Jun-17,"9,617.90","9,621.40","9,560.80","9,578.05",176.42M,-0.42%
14-Jun-17,"9,621.55","9,627.40","9,580.45","9,618.15",187.38M,0.12%
13-Jun-17,"9,615.55","9,654.15","9,595.40","9,606.90",133.73M,-0.10%
12-Jun-17,"9,646.70","9,647.05","9,598.50","9,616.40",145.79M,-0.54%
9-Jun-17,"9,638.55","9,676.25","9,608.15","9,668.25",163.90M,0.22%
8-Jun-17,"9,682.40","9,688.70","9,641.50","9,647.25",160.16M,-0.17%
7-Jun-17,"9,663.95","9,678.55","9,630.55","9,663.90",165.67M,0.28%
6-Jun-17,"9,704.25","9,709.30","9,630.20","9,637.15",150.38M,-0.39%
5-Jun-17,"9,656.30","9,687.20","9,640.70","9,675.10",131.69M,0.22%
2-Jun-17,"9,657.15","9,673.50","9,637.45","9,653.50",167.20M,0.39%
1-Jun-17,"9,603.55","9,634.65","9,589.90","9,616.10",181.53M,-0.05%
31-May-17,"9,636.55","9,649.60","9,609.25","9,621.25",427.05M,-0.03%
30-May-17,"9,590.65","9,635.30","9,581.20","9,624.55",199.89M,0.20%
29-May-17,"9,560.05","9,637.75","9,547.70","9,604.90",242.27M,0.10%
26-May-17,"9,507.75","9,604.90","9,495.40","9,595.10",225.65M,0.90%
25-May-17,"9,384.05","9,523.30","9,379.20","9,509.75",298.15M,1.59%
24-May-17,"9,410.90","9,431.90","9,341.65","9,360.55",218.26M,-0.27%
23-May-17,"9,445.05","9,448.05","9,370.00","9,386.15",231.35M,-0.55%
22-May-17,"9,480.25","9,498.65","9,427.90","9,438.25",202.88M,0.11%
19-May-17,"9,469.90","9,505.75","9,390.75","9,427.90",259.86M,-0.02%
18-May-17,"9,453.20","9,489.10","9,418.10","9,429.45",199.34M,-1.01%
17-May-17,"9,517.60","9,532.60","9,486.10","9,525.75",211.86M,0.14%
16-May-17,"9,461.00","9,517.20","9,456.35","9,512.25",171.71M,0.71%
15-May-17,"9,433.55","9,449.25","9,423.10","9,445.40",145.16M,0.47%
12-May-17,"9,436.65","9,437.75","9,372.55","9,400.90",159.08M,-0.23%
11-May-17,"9,448.60","9,450.65","9,411.30","9,422.40",176.44M,0.16%
10-May-17,"9,339.65","9,414.75","9,336.00","9,407.30",157.36M,0.97%
9-May-17,"9,337.35","9,338.95","9,307.70","9,316.85",136.42M,0.03%
8-May-17,"9,311.45","9,338.70","9,297.95","9,314.05",179.71M,0.31%
5-May-17,"9,374.55","9,377.10","9,272.00","9,285.30",239.13M,-0.80%
4-May-17,"9,360.95","9,365.65","9,323.25","9,359.90",277.90M,0.51%
3-May-17,"9,344.70","9,346.30","9,298.40","9,311.95",156.34M,-0.02%
2-May-17,"9,339.85","9,352.55","9,269.90","9,313.80",166.56M,0.10%
28-Apr-17,"9,340.95","9,342.65","9,282.25","9,304.05",167.23M,-0.41%
27-Apr-17,"9,359.15","9,367.15","9,322.65","9,342.15",215.88M,-0.10%
26-Apr-17,"9,336.20","9,367.00","9,301.35","9,351.85",191.40M,0.49%
25-Apr-17,"9,273.05","9,309.20","9,250.35","9,306.60",173.90M,0.96%
24-Apr-17,"9,135.35","9,225.40","9,130.55","9,217.95",172.91M,1.08%
21-Apr-17,"9,179.10","9,183.65","9,088.75","9,119.40",159.98M,-0.19%
20-Apr-17,"9,108.10","9,143.90","9,102.65","9,136.40",175.63M,0.36%
19-Apr-17,"9,112.20","9,120.50","9,075.15","9,103.50",179.12M,-0.02%
18-Apr-17,"9,163.00","9,217.90","9,095.45","9,105.15",179.57M,-0.37%
17-Apr-17,"9,144.75","9,160.00","9,120.25","9,139.30",132.24M,-0.13%
13-Apr-17,"9,202.50","9,202.65","9,144.95","9,150.80",171.70M,-0.57%
12-Apr-17,"9,242.50","9,246.40","9,161.80","9,203.45",166.76M,-0.36%
11-Apr-17,"9,184.55","9,242.70","9,172.85","9,237.00",206.26M,0.61%
10-Apr-17,"9,225.60","9,225.65","9,174.85","9,181.45",139.97M,-0.18%
7-Apr-17,"9,223.70","9,250.50","9,188.10","9,198.30",195.92M,-0.69%
6-Apr-17,"9,245.80","9,267.95","9,218.85","9,261.95",191.94M,-0.03%
5-Apr-17,"9,264.40","9,273.90","9,215.40","9,265.15",190.53M,0.30%
3-Apr-17,"9,220.60","9,245.35","9,192.40","9,237.85",143.44M,0.70%
31-Mar-17,"9,158.90","9,191.70","9,152.10","9,173.75",196.77M,0.00%
30-Mar-17,"9,142.60","9,183.15","9,136.35","9,173.75",333.41M,0.33%
29-Mar-17,"9,128.70","9,153.15","9,109.10","9,143.80",250.90M,0.47%
28-Mar-17,"9,081.50","9,110.40","9,079.80","9,100.80",188.99M,0.61%
27-Mar-17,"9,093.45","9,094.85","9,024.65","9,045.20",209.04M,-0.69%
24-Mar-17,"9,104.00","9,133.55","9,089.40","9,108.00",210.02M,0.24%
23-Mar-17,"9,048.75","9,099.05","9,048.60","9,086.30",197.70M,0.62%
22-Mar-17,"9,047.20","9,072.90","9,019.30","9,030.45",239.46M,-1.00%
21-Mar-17,"9,133.95","9,147.75","9,087.20","9,121.50",255.40M,-0.06%
20-Mar-17,"9,166.95","9,167.60","9,116.30","9,126.85",342.40M,-0.36%
17-Mar-17,"9,207.80","9,218.40","9,147.60","9,160.05",295.55M,0.07%
16-Mar-17,"9,129.65","9,158.45","9,128.55","9,153.70",215.10M,0.76%
15-Mar-17,"9,086.85","9,106.55","9,075.50","9,084.80",248.03M,-0.02%
14-Mar-17,"9,091.65","9,122.75","9,060.50","9,087.00",278.73M,1.71%
10-Mar-17,"8,953.70","8,975.70","8,903.95","8,934.55",157.42M,0.08%
9-Mar-17,"8,914.50","8,945.80","8,899.50","8,927.00",176.81M,0.03%
8-Mar-17,"8,950.70","8,957.05","8,891.95","8,924.30",183.33M,-0.25%
7-Mar-17,"8,977.75","8,977.85","8,932.80","8,946.90",178.83M,-0.18%
6-Mar-17,"8,915.10","8,967.80","8,914.00","8,963.45",180.20M,0.74%
3-Mar-17,"8,883.50","8,907.10","8,860.10","8,897.55",208.92M,-0.02%
2-Mar-17,"8,982.85","8,992.50","8,879.80","8,899.75",225.61M,-0.51%
1-Mar-17,"8,904.40","8,960.80","8,898.60","8,945.80",212.33M,0.75%
28-Feb-17,"8,898.95","8,914.75","8,867.60","8,879.60",302.72M,-0.19%
27-Feb-17,"8,943.70","8,951.80","8,888.65","8,896.70",195.85M,-0.48%
23-Feb-17,"8,956.40","8,982.15","8,927.55","8,939.50",388.87M,0.14%
22-Feb-17,"8,931.60","8,960.75","8,905.25","8,926.90",254.68M,0.21%
21-Feb-17,"8,890.75","8,920.80","8,860.95","8,907.85",181.09M,0.32%
20-Feb-17,"8,818.55","8,886.25","8,809.80","8,879.20",173.02M,0.65%
17-Feb-17,"8,883.70","8,896.45","8,804.25","8,821.70",307.53M,0.50%
16-Feb-17,"8,739.00","8,783.95","8,719.60","8,778.00",190.28M,0.61%
15-Feb-17,"8,778.95","8,807.90","8,712.85","8,724.70",222.83M,-0.77%
14-Feb-17,"8,819.90","8,820.45","8,772.50","8,792.30",194.13M,-0.14%
13-Feb-17,"8,819.80","8,826.90","8,754.20","8,805.05",211.18M,0.13%
10-Feb-17,"8,812.35","8,822.10","8,771.20","8,793.55",232.95M,0.17%
9-Feb-17,"8,795.55","8,821.40","8,724.10","8,778.40",193.28M,0.11%
8-Feb-17,"8,774.55","8,791.25","8,715.00","8,769.05",225.49M,0.01%
7-Feb-17,"8,805.70","8,809.30","8,741.05","8,768.30",233.30M,-0.37%
6-Feb-17,"8,785.45","8,814.10","8,770.20","8,801.05",200.40M,0.69%
3-Feb-17,"8,735.15","8,748.25","8,707.75","8,740.95",196.94M,0.08%
2-Feb-17,"8,724.75","8,757.60","8,685.80","8,734.25",292.33M,0.20%
1-Feb-17,"8,570.35","8,722.40","8,537.50","8,716.40",337.80M,1.81%
31-Jan-17,"8,629.45","8,631.75","8,552.40","8,561.30",537.11M,-0.83%
30-Jan-17,"8,635.55","8,662.60","8,617.75","8,632.75",314.11M,-0.10%
27-Jan-17,"8,610.50","8,672.70","8,606.90","8,641.25",283.91M,0.45%
25-Jan-17,"8,499.45","8,612.60","8,493.95","8,602.75",301.49M,1.50%
24-Jan-17,"8,407.05","8,480.95","8,398.15","8,475.80",184.75M,1.00%
23-Jan-17,"8,329.60","8,404.15","8,327.20","8,391.50",200.99M,0.50%
20-Jan-17,"8,404.35","8,423.65","8,340.95","8,349.35",208.90M,-1.02%
19-Jan-17,"8,418.40","8,445.15","8,404.05","8,435.10",170.96M,0.22%
18-Jan-17,"8,403.85","8,460.30","8,397.40","8,417.00",168.87M,0.23%
17-Jan-17,"8,415.05","8,440.90","8,378.30","8,398.00",125.78M,-0.18%
16-Jan-17,"8,390.95","8,426.70","8,374.40","8,412.80",127.94M,0.15%
13-Jan-17,"8,457.65","8,461.05","8,373.15","8,400.35",190.95M,-0.08%
12-Jan-17,"8,391.05","8,417.20","8,382.30","8,407.20",177.95M,0.32%
11-Jan-17,"8,327.80","8,389.00","8,322.25","8,380.65",192.28M,1.11%
10-Jan-17,"8,262.70","8,293.80","8,261.00","8,288.60",147.31M,0.64%
9-Jan-17,"8,259.35","8,263.00","8,227.75","8,236.05",102.21M,-0.09%
6-Jan-17,"8,281.85","8,306.85","8,233.25","8,243.80",143.69M,-0.36%
5-Jan-17,"8,226.65","8,282.65","8,223.70","8,273.80",163.96M,1.02%
4-Jan-17,"8,202.65","8,218.50","8,180.90","8,190.50",136.48M,-0.02%
3-Jan-17,"8,196.05","8,219.10","8,148.60","8,192.25",131.19M,0.16%
2-Jan-17,"8,210.10","8,212.00","8,133.80","8,179.50",122.02M,-0.08%
30-Dec-16,"8,119.65","8,197.00","8,114.75","8,185.80",131.46M,1.01%
29-Dec-16,"8,030.60","8,111.10","8,020.80","8,103.60",183.98M,0.86%
28-Dec-16,"8,047.55","8,100.55","8,028.40","8,034.85",130.58M,0.02%
27-Dec-16,"7,915.05","8,044.65","7,903.70","8,032.85",122.46M,1.58%
26-Dec-16,"7,965.10","7,970.05","7,893.80","7,908.25",110.17M,-0.97%
23-Dec-16,"7,972.50","8,022.60","7,942.05","7,985.75",127.92M,0.08%
22-Dec-16,"8,043.85","8,046.45","7,964.95","7,979.10",126.41M,-1.02%
21-Dec-16,"8,105.85","8,112.55","8,053.25","8,061.30",127.54M,-0.26%
20-Dec-16,"8,110.60","8,124.10","8,062.75","8,082.40",132.03M,-0.27%
19-Dec-16,"8,126.00","8,132.50","8,094.85","8,104.35",110.67M,-0.43%
16-Dec-16,"8,178.20","8,178.70","8,127.45","8,139.45",209.27M,-0.17%
15-Dec-16,"8,128.40","8,225.90","8,121.95","8,153.60",187.43M,-0.35%
14-Dec-16,"8,229.35","8,229.40","8,165.10","8,182.45",149.13M,-0.48%
13-Dec-16,"8,196.15","8,228.85","8,155.80","8,221.80",189.74M,0.62%
12-Dec-16,"8,230.65","8,230.65","8,154.45","8,170.80",111.43M,-1.10%
9-Dec-16,"8,271.70","8,274.95","8,241.95","8,261.75",154.34M,0.18%
8-Dec-16,"8,152.10","8,256.25","8,151.75","8,246.85",146.86M,1.79%
7-Dec-16,"8,168.40","8,190.45","8,077.50","8,102.05",175.02M,-0.50%
6-Dec-16,"8,153.15","8,178.70","8,130.85","8,143.15",118.85M,0.18%
5-Dec-16,"8,088.75","8,141.90","8,056.85","8,128.75",130.44M,0.52%
2-Dec-16,"8,153.55","8,159.30","8,070.05","8,086.80",176.77M,-1.30%
1-Dec-16,"8,244.00","8,250.80","8,185.05","8,192.90",162.60M,-0.38%
30-Nov-16,"8,172.15","8,234.25","8,139.25","8,224.50",255.72M,1.01%
29-Nov-16,"8,131.55","8,197.35","8,128.70","8,142.15",195.62M,0.19%
28-Nov-16,"8,080.65","8,146.50","8,066.50","8,126.90",195.60M,0.16%
25-Nov-16,"8,007.95","8,122.25","7,976.75","8,114.30",183.36M,1.87%
24-Nov-16,"8,011.80","8,024.85","7,952.55","7,965.50",268.62M,-0.84%
23-Nov-16,"8,051.20","8,055.20","7,973.10","8,033.30",186.60M,0.39%
22-Nov-16,"7,989.15","8,019.05","7,938.15","8,002.30",216.68M,0.92%
21-Nov-16,"8,102.10","8,102.45","7,916.40","7,929.10",225.61M,-1.80%
18-Nov-16,"8,097.55","8,128.95","8,048.30","8,074.10",166.20M,-0.07%
17-Nov-16,"8,105.10","8,151.25","8,060.30","8,079.95",197.18M,-0.39%
16-Nov-16,"8,205.65","8,210.05","8,089.40","8,111.60",277.80M,0.04%
15-Nov-16,"8,284.85","8,288.55","8,093.20","8,108.45",370.30M,-2.26%
11-Nov-16,"8,456.65","8,460.60","8,284.95","8,296.30",275.22M,-2.69%
10-Nov-16,"8,555.60","8,598.45","8,510.70","8,525.75",271.20M,1.11%
9-Nov-16,"8,067.50","8,476.20","8,002.25","8,432.00",323.97M,-1.31%
8-Nov-16,"8,540.00","8,559.40","8,480.10","8,543.55",201.76M,0.55%
7-Nov-16,"8,535.75","8,535.85","8,481.45","8,497.05",178.07M,0.75%
4-Nov-16,"8,503.60","8,504.00","8,400.25","8,433.75",231.78M,-0.60%
3-Nov-16,"8,499.85","8,537.65","8,476.15","8,484.95",175.77M,-0.34%
2-Nov-16,"8,542.80","8,549.50","8,504.85","8,514.00",160.13M,-1.30%
1-Nov-16,"8,653.15","8,669.60","8,614.50","8,626.25",170.07M,0.01%
30-Oct-16,"8,672.35","8,678.25","8,616.25","8,625.70",166.11M,-0.14%
28-Oct-16,"8,625.00","8,653.75","8,581.75","8,638.00",180.91M,0.26%
27-Oct-16,"8,607.10","8,624.85","8,550.25","8,615.25",250.34M,0.00%
26-Oct-16,"8,657.30","8,657.30","8,596.60","8,615.25",226.13M,-0.88%
25-Oct-16,"8,721.70","8,722.65","8,663.45","8,691.30",195.70M,-0.20%
24-Oct-16,"8,709.85","8,736.95","8,684.15","8,708.95",161.97M,0.18%
21-Oct-16,"8,708.60","8,709.10","8,652.05","8,693.05",162.16M,-0.07%
20-Oct-16,"8,693.35","8,727.00","8,678.30","8,699.40",165.95M,0.47%
19-Oct-16,"8,697.50","8,698.75","8,636.70","8,659.10",177.40M,-0.22%
18-Oct-16,"8,556.05","8,685.10","8,555.90","8,677.90",216.63M,1.85%
17-Oct-16,"8,612.95","8,615.40","8,506.15","8,520.40",203.52M,-0.73%
14-Oct-16,"8,594.00","8,604.45","8,549.80","8,583.40",167.85M,0.12%
13-Oct-16,"8,671.50","8,681.55","8,541.35","8,573.35",218.86M,-1.56%
10-Oct-16,"8,735.35","8,745.80","8,703.95","8,708.80",111.79M,0.13%
7-Oct-16,"8,721.70","8,723.70","8,663.80","8,697.60",155.05M,-0.14%
6-Oct-16,"8,768.70","8,781.15","8,684.65","8,709.55",168.71M,-0.39%
5-Oct-16,"8,806.35","8,806.95","8,731.40","8,743.95",162.10M,-0.29%
4-Oct-16,"8,770.00","8,783.65","8,736.10","8,769.15",189.99M,0.36%
3-Oct-16,"8,666.15","8,745.20","8,635.00","8,738.10",141.47M,1.47%
30-Sep-16,"8,581.50","8,637.15","8,555.20","8,611.15",187.33M,0.23%
29-Sep-16,"8,792.70","8,800.65","8,558.25","8,591.25",384.40M,-1.76%
28-Sep-16,"8,711.20","8,767.05","8,703.15","8,745.15",170.64M,0.45%
27-Sep-16,"8,748.90","8,768.50","8,690.50","8,706.40",156.10M,-0.19%
26-Sep-16,"8,807.90","8,809.55","8,715.10","8,723.05",169.05M,-1.23%
23-Sep-16,"8,880.75","8,885.20","8,820.30","8,831.55",191.62M,-0.40%
22-Sep-16,"8,873.35","8,893.35","8,837.80","8,867.45",178.14M,1.03%
21-Sep-16,"8,790.30","8,826.85","8,757.30","8,777.15",153.44M,0.01%
20-Sep-16,"8,816.10","8,816.45","8,759.30","8,775.90",140.72M,-0.37%
19-Sep-16,"8,788.45","8,824.30","8,774.20","8,808.40",135.81M,0.33%
16-Sep-16,"8,780.85","8,847.65","8,750.50","8,779.85",274.04M,0.43%
15-Sep-16,"8,743.85","8,751.95","8,704.35","8,742.55",149.89M,0.18%
